freq_Hz,relerr_A,relerr_B,relerr_C_unw,relerr_D_weighted
3.124326e+08,8.859658e-01,1.093954e-01,3.359269e-03,7.092426e-03
3.267395e+08,8.901918e-01,1.069276e-01,3.231711e-03,7.219787e-03
3.417016e+08,8.943134e-01,1.045469e-01,3.104220e-03,7.344426e-03
3.573489e+08,8.983299e-01,1.022529e-01,2.976918e-03,7.466135e-03
3.737127e+08,9.022406e-01,1.000447e-01,2.850020e-03,7.584693e-03
3.908258e+08,9.060442e-01,9.792119e-02,2.723806e-03,7.699863e-03
4.087225e+08,9.097391e-01,9.588102e-02,2.598606e-03,7.811388e-03
4.274388e+08,9.133230e-01,9.392262e-02,2.474779e-03,7.918997e-03
4.470121e+08,9.167932e-01,9.204431e-02,2.352704e-03,8.022398e-03
4.674818e+08,9.201464e-01,9.024428e-02,2.232763e-03,8.121284e-03
4.888888e+08,9.233790e-01,8.852069e-02,2.115330e-03,8.215334e-03
5.112761e+08,9.264870e-01,8.687164e-02,2.000764e-03,8.304217e-03
